Model Details
Model: MooneyRivlin, Initial Guess: ['1,1', '1,1'], Bounds: [u, n], RMSE: 0.128, BIC: -1268.848

Predictions
Note2: test2note2

Note: test2

x,y_original,MooneyRivlin_ypred
1.83983,18.78549609,18.867800653179838
1.84343,18.94503959,19.027502636835752
1.84702,19.10693631,19.187999210682065
1.8506,19.26827533,19.349289214822406
1.85416,19.43421808,19.510915677836735
1.85772,19.59782272,19.67378532582719
1.86126,19.76536273,19.836981790092832
1.86478,19.93209484,20.000493097031995
1.8683,20.09822191,20.165246776759414
1.8718,20.2669012,20.330305133977888
1.87529,20.43560347,20.496132789304102
1.87877,20.60558979,20.66272801739624
1.88224,20.7779155,20.830089032910365
1.88569,20.94686996,20.997726278252816
1.88913,21.1186373,21.16611832006924
1.89256,21.2918482,21.335263145777326
1.89598,21.4664104,21.505158681930798
1.89939,21.64101385,21.675802793976306
1.90279,21.8109815,21.84719328601482
1.90617,21.98814055,22.018818287393614
1.90954,22.16490443,22.191177694234604
1.9129,22.34318938,22.364269080902773
1.91625,22.51759374,22.53808995972447
1.91959,22.69602538,22.712637780779108
1.92292,22.87688922,22.887909931695855
1.92624,23.05358693,23.0639037374553
1.92954,23.23545377,23.240080698141988
1.93284,23.41737447,23.41750574198275
1.93612,23.59737189,23.595100668812368
1.9394,23.78010941,23.7739454371879
1.94266,23.96456351,23.952946506722135
1.94591,24.14771357,24.13264413535078
1.94915,24.33043007,24.313035162680794
1.95238,24.51505428,24.494116364549427
1.9556,24.70203892,24.67588445288032
1.95881,24.889793,24.85833607554534
1.96201,25.07679618,25.04146781623202
1.9652,25.26496594,25.22527619431664
1.96838,25.44869642,25.409757664743314
1.97155,25.63968459,25.594908617908658
1.97471,25.82946652,25.7807253795525
1.97786,26.01874589,25.9672042106544
1.981,26.21164407,26.15434130733621
1.98413,26.40062988,26.34213280077065
1.98725,26.59086152,26.53057475709597
1.99036,26.78674983,26.719663177336678
1.99346,26.97805529,26.909393997330493
1.99655,27.17051642,27.099763087661486
1.99964,27.36623988,27.291388435143947
2.00271,27.56201659,27.483025494408885
2.00577,27.75901734,27.675288056096825
2.00882,27.95722208,27.868171729142
2.01187,28.15344184,28.06231063758989
2.0149,28.34831346,28.256427225208483
2.01793,28.5489083,28.451798230495896
2.02095,28.74918467,28.64778045577594
2.02395,28.95181158,28.84371401547835
2.02695,29.15360221,29.04090037672158
2.02994,29.35009447,29.238683699101415
2.03292,29.5549514,29.43705910176313
2.03589,29.75813023,29.63602163789298
2.03886,29.96591737,29.83624255920475
2.04181,30.16640396,30.03636850512228
2.04476,30.3693106,30.23775114418742
2.04769,30.57690553,30.439019966779853
2.05062,30.78480671,30.641543571784563
2.05354,30.9903905,30.84463186595241
2.05645,31.19632897,31.04827947425445
2.05935,31.40302247,31.252480955581664
2.06225,31.61771312,31.457941459139207
2.06514,31.82652077,31.663953470834766
2.06801,32.03700457,31.869791986208345
2.07088,32.24566698,32.07688574051664
2.07374,32.46024503,32.28451397299277
2.0766,32.67250378,32.49340346710257
2.07944,32.88465699,32.70208759190912
2.08228,33.09524212,32.912030041572976
2.08511,33.30995354,33.12249225489015
2.08793,33.52255763,33.33346819329441
2.09074,33.540926,33.544951752243776
