Model Details
Model: Ogden3, Initial Guess: 1,1,1,1,1,1, Bounds: unbounded, RMSE: 0.031, BIC: -2465.651

Predictions
Note2: test2note2

Note: test2

x,y_original,Ogden3_ypred
1.09861,1.299,1.3028903027883416
1.10616,1.32965,1.3340495949847764
1.11365,1.35916,1.3656239730125037
1.12108,1.38942,1.397610101064572
1.12846,1.42104,1.43004878220313
1.13579,1.4524,1.4629388944617574
1.14306,1.48443,1.4962328370970965
1.15029,1.51658,1.5300206403317986
1.15745,1.54949,1.564158883711741
1.16457,1.58316,1.5987871534020428
1.17164,1.61723,1.6338559926081757
1.17865,1.65079,1.6693118517152925
1.18562,1.68589,1.7052531756582425
1.19254,1.72197,1.741626940081403
1.19942,1.75659,1.778484057726473
1.20624,1.79337,1.815713993909526
1.21302,1.8288,1.8534223168273911
1.21976,1.86679,1.891608286914959
1.22645,1.90413,1.9302127557619428
1.23309,1.94211,1.9692314380009748
1.23969,1.98098,2.0087201783813384
1.24625,2.01955,2.0486774615328045
1.25276,2.05947,2.0890390421049005
1.25923,2.09916,2.1298633787785093
1.26567,2.14014,2.1712131414843725
1.27206,2.18165,2.212957640110517
1.27841,2.22224,2.2551580574077548
1.28471,2.26438,2.2977435659094567
1.29098,2.30686,2.340846503487171
1.29721,2.3492,2.3843968073988435
1.30341,2.39275,2.4284629114571317
1.30956,2.43668,2.4728992523028523
1.31568,2.48201,2.5178467457565716
1.32176,2.52588,2.5632299488618173
1.3278,2.57099,2.6090448866632414
1.3338,2.61732,2.655287388877298
1.33977,2.66335,2.7020320060355516
1.34571,2.70901,2.749277904323492
1.35161,2.75786,2.7969426953375773
1.35747,2.80515,2.8450214758374273
1.3633,2.85329,2.8935930950759143
1.3691,2.90242,2.942656098445866
1.37487,2.95145,2.992208889903168
1.3806,3.00095,3.0421618993669313
1.3863,3.05139,3.0925984497087597
1.39196,3.10323,3.143426020265224
1.39759,3.15403,3.1947302110729083
1.4032,3.20604,3.246601779582761
1.40877,3.25745,3.2988532849461762
1.41431,3.31027,3.3515738522984293
1.41982,3.36548,3.4047606656641847
1.4253,3.41915,3.458410761528512
1.43075,3.47256,3.512521028366791
1.43617,3.52746,3.567088206228618
1.44156,3.58231,3.62210888638333
1.44692,3.63929,3.67757951102044
1.45225,3.69538,3.7334963730116897
1.45756,3.75173,3.789962673118339
1.46283,3.80991,3.8467617318068505
1.46808,3.867,3.904104969109426
1.47331,3.92567,3.9619924625878866
1.4785,3.98413,4.020198419873168
1.48367,4.04403,4.078942579561726
1.48881,4.10442,4.138108819340687
1.49393,4.16475,4.1978096347452265
1.49901,4.22578,4.257806817296569
1.50408,4.28789,4.318451811448995
1.50911,4.3483,4.379382754695143
1.51413,4.41189,4.4409599324599185
1.51912,4.47488,4.502937060772865
1.52408,4.53899,4.5653084509084465
1.52902,4.6012,4.628196348108418
1.53393,4.66589,4.691469812798118
1.53882,4.73044,4.755253956598494
1.54369,4.79748,4.8195472660801215
1.54853,4.86185,4.884213721212404
1.55335,4.92849,4.949382810416864
1.55814,4.9947,5.014915075939484
1.56292,5.06167,5.081082192232429
1.56767,5.1309,5.147605248016021
1.5724,5.19846,5.214619692662382
1.5771,5.26699,5.281979115918261
1.58179,5.33609,5.349967777922416
1.58645,5.4061,5.418293257720961
1.59109,5.47631,5.4870970992506045
1.59571,5.54615,5.5563766039758775
1.6003,5.61706,5.625976495157261
1.60488,5.68792,5.696197133812234
1.60944,5.76051,5.7668847249647115
1.61397,5.83347,5.837878590364767
1.61849,5.90671,5.909488958708039
